id,name,industry,review,likes,rating,posted_at,token_count,too_long,aspect,sentiment,confidence,position
585827,Riwa Gastro AG,Restaurant,Leckeres Eis und netter Service!,0,4.0,2023-04-22 15:50:01.416,11,False,"['Eis', 'Service']","['Positive', 'Positive']","[0.9981, 0.9982]","[[1], [4]]"
585827,Riwa Gastro AG,Restaurant,"Try it! The first impression is deceiving, looking like a highway stop. Truth be told also inside it has the charm of a Raststätte. However, service is down to earth and the food is solid and of high quality. This is a no frills experience but checks all the right boxes and comes in at a slightly better price than your would expect.
Definitely ask for the septate dessert card and try the ""Natur Yoghurt"" ice cream..
Update 2023: still love it",1,5.0,2019-02-09 19:53:26.000,118,False,[],[],[],[]
585827,Riwa Gastro AG,Restaurant,Immer alles perfekt. Danke,0,5.0,2023-04-16 13:18:36.731,9,False,[],[],[],[]
585827,Riwa Gastro AG,Restaurant,Feine Desserts❤️,0,5.0,2023-04-11 06:45:40.392,9,False,['Desserts'],['Positive'],[0.9656],[[1]]
585827,Riwa Gastro AG,Restaurant,5 Sterne absolut verdient!,0,5.0,2023-04-10 14:29:48.634,9,False,[],[],[],[]
585827,Riwa Gastro AG,Restaurant,"Sehr schönes Ausflugsrestaurant mit fantastischer Aussicht.
Sehr freundliches Personal, schnelle Bedienung.
Essen schmeckt hervorragend.
Reservierung empfohlen.",0,5.0,2022-04-02 18:54:37.071,40,False,"['Aussicht', 'Personal', 'Bedienung', 'Essen']","['Positive', 'Positive', 'Positive', 'Positive']","[0.9985, 0.9981, 0.9976, 0.997]","[[5], [9], [12], [14]]"
585827,Riwa Gastro AG,Restaurant,Super essen tolle Saisonale Gerichte,2,5.0,2023-04-09 05:46:22.794,10,False,"['essen', 'Gerichte']","['Positive', 'Positive']","[0.9976, 0.998]","[[1], [4]]"
585827,Riwa Gastro AG,Restaurant,Super gegessen und toller Service!,0,5.0,2023-04-06 19:38:47.336,10,False,['Service'],['Positive'],[0.9983],[[4]]
585827,Riwa Gastro AG,Restaurant,"Sehr schönes Restaurant mit herrlichem Weitblick. Grosse Speisekarte mit viel Auswahl an Saison gerechten Speisen. Menus schön angerichtetet, super lecker und Portionen waren bei unserem Besuch recht gross. Service speditiv und freundlich.",1,5.0,2023-04-05 19:02:49.218,61,False,"['Restaurant', 'Speisekarte', 'Menus', 'Portionen', 'Service']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","[0.9982, 0.9979, 0.9978, 0.9981, 0.9979]","[[2], [8], [17], [24], [32]]"
585827,Riwa Gastro AG,Restaurant,"Gutes Restaurant, feine und immer auch saisonale Gerichte im Angebot. Toller Ausblick.",0,5.0,2023-04-04 12:58:59.201,24,False,"['Restaurant', 'Gerichte', 'Ausblick']","['Positive', 'Positive', 'Positive']","[0.998, 0.9973, 0.9973]","[[1], [8], [13]]"
585827,Riwa Gastro AG,Restaurant,"Very welcoming staff, friendly knowledgeable and very helpful. Food is all amazing, starter I had soup.!! Omg yummmmy. Main courses both fresh and tasty 😋 and just enough room for an amazing desert. Place had amazing views, inside they also sell some of the foods to take away.!!! Including an amazing dressing. And the toilets don’t smell like toilets. Beautiful and clean 🧽",2,5.0,2023-04-03 21:02:58.993,98,False,"['staff', 'Food', 'Main courses', 'desert', 'views', 'dressing', 'toilets']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']","[0.9963, 0.99, 0.9827, 0.8774, 0.8883, 0.9846, 0.9824]","[[2], [10], [25, 26], [39], [44], [64], [68]]"
585827,Riwa Gastro AG,Restaurant,Wonderful service with suppurb food,0,4.0,2023-03-30 19:00:33.780,10,False,"['service', 'food']","['Positive', 'Positive']","[0.9809, 0.7583]","[[1], [4]]"
585827,Riwa Gastro AG,Restaurant,"Immer wieder gern.
Am 29.01.2022 wieder einmal zum Abendessen da, wieder Top. Das Restaurant voll, aber das Personal behielten den Überblick und leisteten einen Super Service. DANKE
Am 23.03.22 wieder mmmhhm einfach GUT.
Natürlich immer wieder zum Mittagessen und natürlich zum Glace.
Heute 23.03.23 zum Nachtessen auch wieder Top.
Waldegg my Favorit.",4,5.0,2020-06-21 16:20:21.346,95,False,"['Personal', 'Service', 'Waldegg']","['Positive', 'Positive', 'Positive']","[0.9759, 0.9572, 0.983]","[[25], [33], [69]]"
585827,Riwa Gastro AG,Restaurant,Immer wieder ein Besuch wert..,0,5.0,2023-03-19 18:48:30.658,10,False,[],[],[],[]
585827,Riwa Gastro AG,Restaurant,"Schon oft besucht und gerne immer wieder 😊, sehr feine Speisen, äusserst freundliche Service-Mitarbeitende",0,5.0,2023-03-11 15:08:18.116,35,False,"['Speisen', 'Service', 'Mitarbeitende']","['Positive', 'Positive', 'Positive']","[0.9982, 0.9879, 0.9843]","[[11], [15], [17]]"
585827,Riwa Gastro AG,Restaurant,Eines meiner lieblings Restaurant. Die Küche ist sehr gut. Hier gibt es die beste Salatsauce die ich je in einem Restaurant erhalten habe.,3,5.0,2019-12-14 21:31:08.210,36,False,"['Restaurant', 'Küche', 'Salatsauce']","['Positive', 'Positive', 'Positive']","[0.9985, 0.9985, 0.9986]","[[3], [6], [16]]"
585827,Riwa Gastro AG,Restaurant,"Das Personal ist sehr freundlich, super Essen, und die Aussicht unbezahlbar.",0,5.0,2023-03-09 13:39:08.736,21,False,"['Personal', 'Essen', 'Aussicht']","['Positive', 'Positive', 'Positive']","[0.9982, 0.9985, 0.9986]","[[1], [7], [11]]"
585827,Riwa Gastro AG,Restaurant,"Es ist unser Lieblingsrestaurant. das Essen ist sehr gut. Für uns ist es immer ein ""muss"" wenn wir von Zürich nach Wil fahren. Das Personal ist einfach sehr zuvorkommen. Bei der Chefin merkt man, sie macht es mit Herzblut. À bientôt !",0,5.0,2023-03-07 11:31:29.327,69,False,"['Essen', 'Personal', 'Chefin']","['Positive', 'Positive', 'Positive']","[0.9983, 0.9971, 0.9976]","[[6], [29], [37]]"
585827,Riwa Gastro AG,Restaurant,Zum empfehlen,0,5.0,2023-03-06 12:18:14.985,4,False,[],[],[],[]
585827,Riwa Gastro AG,Restaurant,"Hammer Essen, top Service!",0,5.0,2023-03-03 22:25:37.401,8,False,"['Essen', 'Service']","['Positive', 'Positive']","[0.9977, 0.9979]","[[1], [4]]"
585827,Riwa Gastro AG,Restaurant,"Ort & Bedienung sehr toll & sehr freundlich
Essen maximal durchschnittlich. Kalter Spinat in einem Restaurant... war leider mein erstes und letztes mal.",0,3.0,2023-02-20 10:44:39.777,42,False,"['Ort', 'Bedienung', 'Essen']","['Positive', 'Positive', 'Neutral']","[0.9887, 0.9482, 0.8579]","[[0], [2], [8]]"
